anekeri,	অনেকেরী,	অনেকেরই,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
madhobeer,	মাধবীর,	মাধবীর,	
simons,	সীমস্,	সিমন্স,	
mukhamandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
mojlish,	মজলিস,	মজলিশ,	
prabhuder,	প্রভূদের,	প্রভুদের,	
deefinishion,	ডেফিনিশন,	ডেফিনেশন,	
ghesa,	ঘেস,	ঘেঁষা,	
nikater,	নিকটের,	নিকটের,	
nilkamol,	নিলকমাল,	নীলকমল,	
fase,	ফেজ,	ফাঁসে,	
ajimpoor,	আজিমপুর,	আজিমপুর,	
chhatogolper,	ছোটোগল্পের,	ছোটগল্পের,	
mozlis,	মজলিস,	মজলিশ,	
gaddafii,	গড্যফি,	গাদ্দাফী,	
madhobike,	মাধবিকে,	মাধবীকে,	
abodamaner,	অবদামানের,	অবদমনের,	
sammatir,	সমম্তির,	সম্মতির,	
suraaropito,	সুরারপ্রিত,	সুরারোপিত,	
papri,	পাপ্রী,	পাপরি,	
monjeele,	মঞ্জিলে,	মঞ্জিলে,	
booponer,	বপনের,	বপনের,	
nirupito,	নিরূপিত,	নিরূপিত,	
nothivooktir,	নথিবউ্তির,	নথিভুক্তির,	
admiral,	অ্যাডমিরাল,	এডমিরাল,	
tukror,	টুকরোর,	টুকরোর,	
bronzer,	ব্রঞ্জের,	ব্রোঞ্জের,	
aatto,	আত্ব,	আত্ম,	
provritir,	প্রভৃতির,	প্রভৃতির,	
karmajog,	কর্মযোগ,	কর্মযোগ,	
ranangone,	রণাঙ্গনে,	রণাঙ্গনে,	
phutantoa,	ফুটন্টা,	ফুটন্ত,	
aaziz,	আজিজ,	আজিজ,	
nothivuktir,	নথিভুক্তির,	নথিভুক্তির,	
nothivookto,	নথিবক্ত,	নথিভুক্ত,	
suparahira,	সুপারহীরা,	সুপারহিরো,	
hailo,	হাইল,	হইল,	
gaddaafee,	গড্যাফি,	গাদ্দাফী,	
pooshtee,	পুষ্টি,	পুষ্টি,	
samanyoi,	সামান্যই,	সামান্যই,	
hatodoridra,	হতোদরদিরা,	হতদরিদ্র,	
kode,	কোড,	কোডে,	
parqing,	পার্কিং,	পার্কিং,	
chupi,	চুপী,	চুপি,	
byaboharkariderke,	ব্যবহারকারীকের,	ব্যবহারকারীদেরকে,	
dhyaan,	ঢ্যান,	ধ্যান,	
protizogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
armstrong,	আর্ম্্্র,	আর্মস্ট্রং,	
natians,	নাটান্স,	নেশনস,	
chirohorith,	চিরোহর,	চিরহরিৎ,	
peeri,	পেরী,	পেরি,	
dola,	ডলা,	দলা,	
paitey,	পাইটে,	পাইতে,	
