jacqson,	জেকসন,	জ্যাকসন,	
onektai,	অনেকটাই,	অনেকটাই,	
khilaphat,	খিলাফাত,	খিলাফত,	
nirapekkhotaar,	নিরপ্কেত্ষার,	নিরপেক্ষতার,	
prabhu,	প্রভূ,	প্রভু,	
mosjidsaho,	মসিদসহ,	মসজিদসহ,	
karu,	কারু,	কারু,	
shoochonakal,	সূচনাকল,	সূচনাকাল,	
baharamapurer,	বহরামুপুরের,	বহরমপুরের,	
garur,	গরুর,	গরুর,	
turky,	টার্কি,	তুর্কি,	
arthurer,	অর্থুরের,	আর্থারের,	
wenice,	ভেনিস,	ভেনিস,	
nirapattamulok,	নিরপপতামূলক,	নিরাপত্তামূলক,	
associetes,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
selinar,	সেলিনার,	সেলিনার,	
diyi,	দিই,	দিই,	
chanoo,	চানু,	চানু,	
jonmat,	জন্মাত,	জন্মাত,	
tale,	তেল,	তালে,	
odhito,	অধিত,	অধীত,	
patjat,	পাৎজাত,	পাটজাত,	
baireo,	বৈরেও,	বাইরেও,	
duplee,	ডাপ্লি,	ডুপ্লে,	
baataree,	বাতারী,	ব্যাটারী,	
metropoliton,	মেট্রোপলিটান,	মেট্রোপলিটন,	
hoteelti,	হটিলটি,	হোটেলটি,	
prokolpogulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
heja,	হেজ,	হেজ,	
tarasa,	তারস,	টেরেসা,	
hilser,	হিলসার,	হিলসের,	
hook,	হোক,	হুক,	
proteesthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
abhigomon,	অভিগমণ,	অভিগমন,	
ishan,	ইশন,	ঈশান,	
rajpurohit,	রাজপুরোহিত,	রাজপুরোহিত,	
sikare,	শিকারে,	শিকারে,	
nathibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
sinake,	সিনাকে,	সিনাকে,	
barbadoz,	বার্বাডোজ,	বার্বাডোজ,	
auttacharer,	অত্তাচারের,	অত্যাচারের,	
laatimer,	লাটিমের,	লাটিমের,	
