zoneete,	জনিতে,	যোনীতে,	
parbottyo,	পর্বত্ত,	পার্বত্য,	
neurooloogy,	নিউগোরলি,	নিউরোলজি,	
elakao,	এলকা,	এলাকাও,	
miraclee,	মিরালললি,	মিরাকেল,	
nisader,	নিসাদের,	নিষাদের,	
jaanar,	জানার,	জানার,	
jakkho,	যাক্ষ,	যক্ষ,	
zubokshoho,	জুবক্ষহ,	যুবকসহ,	
foolkopi,	ফলকপি,	ফুলকপি,	
jacqson,	যাযক্কন,	জ্যাকসন,	
labonaktotar,	লাবনততততার,	লবণাক্ততার,	
silabhara,	সিলাভার,	সিলভার,	
set,	সেট,	সিট,	
sohingsotar,	সহিগ্তার,	সহিংসতার,	
ronangane,	রঙ্গগনে,	রণাঙ্গনে,	
rupdaan,	রোপ্নন,	রুপদান,	
naraphoka,	নারফাক,	নরফোক,	
isosiyitasa,	ইসিসিটিসা,	এসোসিয়েটস,	
ashok,	আসক,	আশোক,	
utsaahe,	উৎসাহে,	উৎসাহে,	
phutonta,	ফুতনতা,	ফুটন্ত,	
jilyanda,	জিলিন্ড্ড,	জিল্যান্ড,	
diznii,	ডিনিনি,	ডিজনী,	
skarta,	স্ক্র্ট,	স্কার্ট,	
chidropathe,	চিদ্রপথে,	ছিদ্রপথে,	
towbar,	তববার,	তওবার,	
sammatitey,	সম্মতিতে,	সম্মতিতে,	
soundarja,	সৌন্দ্র্য,	সৌর্ন্দয্য,	
uposhthitir,	উপপ্থিত,	উপস্থিতির,	
nodnadir,	নন্দাদির,	নদনদীর,	
akbakke,	আক্বককে,	একবাক্যে,	
breaqthrough,	ব্র্রার্চাগ,	ব্রেকথ্রু,	
dhalur,	ঢালুর,	ঢালুর,	
uporitaler,	উপরতিলের,	উপরিতলের,	
janalo,	জানাল,	জানালো,	
icebarg,	একেস্রা,	আইসবার্গ,	
utsahe,	উৎসাহে,	উৎসাহে,	
sbajaner,	স্বানাের,	স্বজনের,	
zansa,	জনস,	জন্স,	
durger,	দুর্গের,	দুর্গের,	
chhatto,	ছত্ত,	ছোট্ট,	
monzushree,	মন্যুসীর,	মঞ্জুশ্রী,	
kodom,	কদম,	কদম,	
paksenaara,	প্কাকনের,	পাকসেনারা,	
dolu,	দলু,	ডলু,	
shelim,	সেলিম,	সেলিম,	
jathartho,	যথার্থ,	যথার্থ,	
bhagerei,	ভাগারেই,	ভাগেরই,	
