dibeta,	দিবিতা,	ডিবেট,	
durgandha,	দুর্ঘন্ধ,	দুর্গন্ধ,	
pathanirdeshana,	পথানিরদেশন,	পথনির্দেশনা,	
udbodhoner,	উদ্বোধনের,	উদ্বোধনের,	
dovar,	দোভার,	ডোভার,	
aakkaash,	আক্যাস,	আককাস,	
rohosyor,	রহস্য,	রহস্যর,	
licensedharii,	লিসেস্সাসেরি,	লাইসেন্সধারী,	
dreestiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
ancholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
cheerokumari,	চিরকমুমারি,	চিরকুমারী,	
primo,	প্রীম,	প্রিমো,	
mandonder,	মন্দন্দের,	মানদণ্ডের,	
onkeeta,	অংকিত,	অঙ্কিতা,	
muzibur,	মুজিবুর,	মুজিবুর,	
shalsa,	সালস,	সালসা,	
seqtara,	সেক্টার,	সেক্টর,	
munsi,	মুনসী,	মুন্সি,	
nirgomon,	নির্জমোহন,	নির্গমন,	
toufik,	তৌফিক,	তৌফিক,	
lakkhero,	লক্ষ্যের,	লক্ষেরও,	
loukeek,	লৌকিক,	লৌকিক,	
gandogol,	গণ্ডগোল,	গন্ডগোল,	
melborne,	মেলবর্্নে,	মেলবোর্নে,	
embed,	এম্বেড,	এম্বেড,	
kansat,	কাঁসাট,	কানসাট,	
saya,	সায়া,	সোয়া,	
siddhante,	সিদ্ধনতে,	সিদ্ধান্তে,	
pratijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
jwaluk,	জ্বুলুক,	জ্বলুক,	
sommotir,	সম্মতির,	সম্মতির,	
nilkuthir,	নীলকুঁর,	নীলকুঠির,	
nathibhukta,	নথিভূক্ত,	নথিভুক্ত,	
ansareer,	আংসারির,	আনসারীর,	
mukhamandal,	মুখমন্ডল,	মুখমণ্ডল,	
chalaabi,	চালাবি,	চালাবে,	
expression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
basano,	বাসনো,	বসানো,	
gudamjat,	গুদামজাত,	গুদামজাত,	
awatar,	অ্যাটার,	অবতার,	
loombinee,	লুমবিনী,	লুম্বিনী,	
bonvumitey,	বনভূমিতে,	বনভূমিতে,	
musalmanra,	মুসলমমন্র,	মুসলমানরা,	
shantaa,	শান্তা,	সান্তা,	
haldim,	হালদিম,	হোল্ডিং,	
porishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
silvi,	সিলভি,	সিলভি,	
bildara,	বিলডারা,	বিল্ডার,	
seeramiks,	সেরামিক্স,	সিরামিকস,	
progresh,	প্রগ্রেস,	প্রগ্রেস,	
eoki,	ইককি,	এওকি,	
sharoker,	শারকের,	স্মারকের,	
asiph,	আসীফ,	আসিফ,	
thakey,	ঠাকে,	থাকে,	
firth,	ফার্থ,	ফার্থ,	
bachhayi,	বাচাই,	বাছাই,	
bayi,	বাই,	বাঈ,	
sorano,	সরানো,	সরানো,	
hugh,	হুঘ,	হিউজ,	
veenus,	ভাইনুস,	ভেনাস,	
tophaat,	তফাট,	তফাৎ,	
mukherjee,	মুখার্জি,	মুখার্জী,	
nothibhukta,	নথিভূক্ত,	নথিভুক্ত,	
apochesta,	অপচেস্ট,	অপচেষ্টা,	
messenjer,	মেসেজ্জের,	মেসেঞ্জার,	
sthapanagulo,	স্থাপনাগুলো,	স্থাপনাগুলো,	
prakalpeo,	প্রকল্পেও,	প্রকল্পেও,	
teunar,	টিউনার,	টিউনার,	
nikot,	নিকট,	নিকট,	
maunjiley,	মঞ্জিলি,	মঞ্জিলে,	
karleo,	করলেও,	করলেও,	
alonkaron,	অলংকরণ,	অলঙ্করণ,	
mausumei,	মৌসমেই,	মৌসুমেই,	
odhit,	অধিত,	অধীত,	
sollallhu,	সাল্লাল্লুহু,	সল্লাল্লাহু,	
moshan,	মোসন,	মোশন,	
