chhaanake,	ছানকে,	ছানাকে,	
nagalyand,	নগগল্যান্ড,	নাগাল্যান্ড,	
korim,	করিম,	করিম,	
version,	ভার্সন,	ভারশন,	
manober,	মননের,	মানবের,	
ghensha,	ঘেনস,	ঘেঁষা,	
panero,	পেেরো,	পনের,	
venkatesh,	ভেনকেট,	ভেঙ্কটেশ,	
cheentaikari,	চিনতাইকারী,	ছিনতাইকারী,	
ujobekeestan,	উজবেস্তান,	উজবেকিস্তান,	
aakkaash,	আকাশ,	আককাস,	
tuku,	টুকু,	টুকু,	
shaartho,	শার্থ,	স্বার্থ,	
bupher,	বুফের,	বাফার,	
dibbay,	দিবে,	দিব্যা,	
horipur,	হরিপুর,	হরিপুর,	
advoot,	আদ্বূত,	অদ্ভুত,	
eidaning,	এইডেনিং,	ইদানীং,	
madal,	মাদাল,	মাদল,	
eashter,	ইস্টের,	ইস্টার,	
alexander,	আলেক্সান্ডের,	আলেকজান্ডার,	
shainyader,	সৈন্যদের,	সৈন্যদের,	
desiseyer,	ডেসিসের,	ডিজিজের,	
upobaashee,	উপবাসী,	উপবাসী,	
udvaboker,	উদ্ভববকের,	উদ্ভাবকের,	
vabanir,	ভবানীর,	ভবানীর,	
ekpashe,	একপাশে,	একপাশে,	
adhatik,	আধ্যাতিক,	আধ্যাত্মিক,	
iyanqi,	আইএনকি,	ইয়াংকি,	
kkompito,	কম্পিত,	কম্পিত,	
the,	দা,	থাই,	
volt,	ভোল্ট,	ভল্ট,	
shansthati,	সংস্থাটি,	সংস্থাটি,	
panchbar,	পাঁচবার,	পাঁচবার,	
kings,	কিংস,	কিংস,	
phood,	ফুড,	ফুড,	
thraugh,	ত্রাঘ,	থ্রু,	
bohudin,	বহুদীন,	বহুদিন,	
joisttho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
dhyan,	ধ্যান,	ধ্যান,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
agradut,	অগ্রাদূত,	অগ্রদূত,	
ghosito,	ঘষিত,	ঘোষিত,	
black,	ব্লক,	ব্ল্যাক,	
daayitto,	দৈত্য,	দায়িত্ব,	
abheedhaanik,	অভিধানিক,	অভিধানিক,	
jeshh,	জেস,	জেস,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
jakser,	যক্ষের,	যক্ষের,	
asociatis,	অসযাকোসিট,	এসোসিয়েটস,	
homeske,	হোমেসকে,	হোমসকে,	
moshzidke,	মস্জিদকে,	মসজিদকে,	
nagare,	নগরে,	নগরে,	
naarsaari,	নার্সারী,	নার্সারি,	
mohajote,	মহাজততে,	মহাজোট,	
bopon,	বপন,	বপন,	
suraropeeto,	সুরারোপিত,	সুরারোপিত,	
padarthabid,	পদার্থবিদ,	পদার্থবিদ,	
chhutite,	ছুটিতে,	ছুটিতে,	
protizogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
uparjaner,	উপার্জনের,	উপার্জনের,	
akkhar,	অক্ষর,	অক্ষর,	
maahe,	মাহে,	মাহে,	
superheiroo,	সুপেরহারও,	সুপারহিরো,	
nothivuktir,	নথিভুক্তির,	নথিভুক্তির,	
atohar,	অতোহর,	আতহার,	
ancholtike,	আঞ্চলটিকে,	অঞ্চলটিকে,	
elaakasoho,	এলাকাশহ,	এলাকাসহ,	
saainyo,	সৈন্য,	সৈন্য,	
naren,	নারেন,	নরেন,	
nothibhookta,	নথিভুক্ত,	নথিভুক্ত,	
uthaney,	উঠানে,	উঠানে,	
akpashe,	একপাশে,	একপাশে,	
ivaner,	ইভানের,	ইভানের,	
badhano,	বাধানো,	বাঁধানো,	
dhanni,	ধননি,	ধন্যি,	
anisa,	অনীশা,	আনিস,	
dang,	ডাং,	ডং,	
koilaash,	কৈলাশ,	কৈলাস,	
durgotsav,	দুর্গত্বব,	দুর্গোৎসব,	
beam,	বীম,	বিম,	
