chirohorit,	চিহরিত,	চিরহরিৎ,	
megh,	মেঘ,	মেঘ,	
skalastic,	স্কলাস্টিক,	স্কলাস্টিক,	
abheedhaaneec,	অভিধানিক,	অভিধানিক,	
robe,	রবে,	রবে,	
granthe,	গ্রান্থে,	গ্রন্থে,	
mette,	মেট,	ম্যাট,	
taranee,	তররানী,	তরণী,	
august,	অগাস্ট,	আগষ্ট,	
zyakasana,	জ্যাকাশন,	জ্যাকসন,	
eucalyptush,	ইউক্যালিপ্টস,	ইউক্যালিপ্টাস,	
votarer,	ভোটারের,	ভোটারের,	
natniike,	নত্নিকে,	নাতনীকে,	
gandhio,	গন্ধিও,	গান্ধীও,	
mesenjjarer,	মেসেঞ্জারের,	মেসেঞ্জারের,	
parkin,	পার্কিং,	পার্কিং,	
uponeeshoder,	উপনিষদের,	উপনিষদের,	
bidrohiderke,	বিদ্রহীদেরকে,	বিদ্রোহীদেরকে,	
chenja,	চেঞ্জা,	চেঞ্জ,	
awrbit,	অরববাত,	অরবিট,	
qirq,	কীর্ক,	কার্ক,	
chainge,	চাইন,	চেঞ্জ,	
ponera,	পনেরা,	পনের,	
jammu,	জম্মু,	জম্মু,	
saurse,	সোর্স,	সোর্স,	
pragresha,	প্রগ্রেস,	প্রগ্রেস,	
jesha,	যেস,	জেস,	
pratiyogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
bonvumite,	বনভূমিতে,	বনভূমিতে,	
gara,	গার,	গোর,	
nikate,	নিকাতে,	নিকটে,	
inashtyanta,	ইনস্টান্ট,	ইনস্ট্যান্ট,	
bronze,	ব্রঞ্জে,	ব্রোঞ্জ,	
zohns,	জনস,	জন্স,	
meghachonno,	মেঘাচন্য,	মেঘাচ্ছন্ন,	
asabhyaa,	অসভ্য,	অসভ্য,	
panthar,	প্যান্থার,	পন্থার,	
uper,	উপের,	আপের,	
ekar,	একার,	একার,	
credit,	ক্রেডিত,	ক্রেডিট,	
mirakela,	মিরককেল,	মিরাকেল,	
chess,	চেস,	চেস,	
saajano,	সাজানও,	সাজানো,	
nadnadeer,	নদন্যাদির,	নদনদীর,	
kiirti,	কীর্তি,	কীর্তি,	
byapokotor,	ব্যাপকতর,	ব্যাপকতর,	
israiler,	ইসরাইলের,	ইসরাঈলের,	
ganakantho,	গণকণ্ঠ,	গণকণ্ঠ,	
fanding,	ফান্ডিং,	ফান্ডিং,	
tafsherer,	তাফসেরের,	তাফসীরের,	
omeettrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
unhu,	উনুহু,	উঁহু,	
satjoner,	সতজনের,	সাতজনের,	
neemeetto,	নিমিত্য,	নিমিত্ত,	
gyandaas,	জ্যান্ডাস,	জ্ঞানদাস,	
progress,	প্রোগ্রেস,	প্রগ্রেস,	
mukhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
setite,	সেটিতে,	সেটিতে,	
parpel,	পার্পেল,	পার্পেল,	
shenior,	সেনিওর,	সিনিয়র,	
pleney,	প্লেনে,	প্লেনে,	
pattern,	প্যাটার্ন,	প্যাটার্ন,	
beshirbhaagei,	বেশিরভাগই,	বেশিরভাগেই,	
sayid,	সাঈদ,	সাইদ,	
shphingtar,	স্ফিন্টর,	স্ফিংটার,	
manaber,	মানবের,	মানবের,	
tennise,	টেনিসে,	টেনিসে,	
sumoo,	সুমু,	সুমো,	
folo,	ফলও,	পোলো,	
kanayi,	কানই,	কানাই,	
nowel,	নোভেল,	নভেল,	
jonsa,	জনসা,	জোন্স,	
euqalyptus,	ইউক্যালিপ্টাস,	ইউক্যালিপ্টাস,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
moshjid,	মস্জিদ,	মসজিদ,	
adarsho,	আদর্শ,	আর্দশ,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
bronje,	ব্রঞ্জে,	ব্রোঞ্জ,	
itemer,	ইটেমের,	আইটেমের,	
bidghutey,	বিধুতে,	বিদঘুটে,	
niutrinoo,	নিউট্রিনো,	নিউট্রিনো,	
oholyar,	অহল্যার,	অহল্যার,	
prokolpow,	প্রকল্পও,	প্রকল্পও,	
chhatrorai,	ছাত্ররাই,	ছাত্ররাই,	
conseervation,	কনসার্ভেশন,	কনসারভেশন,	
grambaasio,	গ্রামবাসিও,	গ্রামবাসীও,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
favourite,	ফাভৌরিতে,	ফেভারিট,	
black,	ব্লক,	ব্ল্যাক,	
bhejano,	ভেজানো,	ভেজানো,	
mile,	মাইল,	মাইল,	
cholochchitro,	চলচিত্র,	চলচ্চিত্র,	
shaatjon,	সাতজন,	সাতজন,	
antarbhuktimulak,	অন্তর্ভূত্তূমূলক,	অন্তর্ভুক্তিমূলক,	
neshanasa,	নেশানস,	নেশনস,	
meeseenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
jojyata,	যো্যত,	যোজ্যতা,	
aarik,	আরিক,	আরিক,	
karmake,	কর্মকে,	কর্মকে,	
chalochchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
snaipara,	স্নাইপার,	স্নাইপার,	
militaryr,	মিলিটারির,	মিলিটারির,	
artillery,	আর্টিলারি,	আর্টিলারি,	
swarthe,	স্বর্থে,	স্বার্থে,	
stonehenj,	স্টনেহেন্জ,	স্টোনহেঞ্জ,	
shhikar,	শ্বিকার,	শিকার,	
aboshore,	অবশরে,	অবসরে,	
durotomm,	দুরতত্ম,	দূরতম,	
udvaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
weelcomee,	ওয়েলকম,	ওয়েলকাম,	
grambasee,	গ্রাম্বাসী,	গ্রামবাসী,	
schedule,	স্কেডুল,	শিডিউল,	
shasankarta,	শাসনকর্তা,	শাসনকর্তা,	
boron,	বরণ,	বোরন,	
chirota,	চিরতা,	চিরতা,	
bhaisaho,	ভাইসহ,	ভাইসহ,	
bolokarak,	বলকারক,	বলকারক,	
fastara,	ফাস্টার,	ফস্টার,	
sanaktakaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
source,	সোর্স,	সোর্স,	
umedpoor,	উমেদপুর,	উমেদপুর,	
salim,	সালিম,	সেলিম,	
aaziz,	আজিজ,	আজিজ,	
ganaporibahan,	গণপরিবহন,	গণপরিবহন,	
cn,	কিএন,	সিএন,	
orunima,	অরুণিমা,	অরুণিমা,	
papri,	পাপরি,	পাপরি,	
shatan,	শাতান,	শয়তান,	
chalochchitrai,	চলচিত্রইই,	চলচ্চিত্রই,	
khele,	খেলে,	খেলে,	
horas,	হরাস,	হোরাস,	
marier,	মেরির,	ম্যারির,	
rupantor,	রূপান্তর,	রুপান্তর,	
atok,	অটক,	আটক,	
batsmanyi,	বাৎসম্যানি,	ব্যাটসম্যানই,	
jees,	জিস,	জেস,	
qyapasula,	ক্যাপসূলা,	ক্যাপসুল,	
horeener,	হরিনের,	হরিণের,	
abahan,	আবাহন,	আবাহন,	
khelafatey,	খেলাফাতে,	খেলাফতে,	
bardhitansh,	বর্ধিতান্স,	বর্ধিতাংশ,	
moshzidshoho,	মশিদদহসহ,	মসজিদসহ,	
daja,	দাজা,	ডোজো,	
konaan,	কোনান,	কোনান,	
nikataner,	নিকটনের,	নিকেতনের,	
jerusalema,	জেরুসলাইম,	জেরুসালেম,	
scholastic,	স্কোলস্টিক,	স্কলাস্টিক,	
samanno,	সাম্না,	সামান্য,	
addhatikotar,	অধ্যাতিকতার,	আধ্যাত্মিকতার,	
zansa,	জনস,	জন্স,	
haridwar,	হরিদদ্বার,	হরিদ্বার,	
aameenar,	আমিনার,	আমিনার,	
hatodoridra,	হতোদরীদরর,	হতদরিদ্র,	
reeno,	ঋণ,	রেনো,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
sanaktakaran,	সনাক্তকরণ,	সনাক্তকরণ,	
scall,	স্কেল,	এসকল,	
bhumijo,	ভূমিজ,	ভূমিজ,	
toubar,	তাউবার,	তওবার,	
michhilti,	মিচ্ছিলটি,	মিছিলটি,	
manohar,	মানহার,	মনোহর,	
nirbachoker,	নির্বাচকের,	নির্বাচকের,	
tarunke,	তরুণকে,	তরুণকে,	
faj,	ফাজ,	ফাজ,	
mausumeo,	মাসুমেও,	মৌসুমেও,	
bishaashke,	বিশ্বাসকে,	বিশ্বাসকে,	
hena,	হেনা,	হেনা,	
poorbancholer,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
bhyatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
poste,	পোস্টে,	পোস্টে,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
vange,	ভঙ্গে,	ভাঙ্গে,	
halloin,	হলযাইন,	হ্যালোইন,	
orthonitike,	অর্থনিতিকে,	অর্থনীতিকে,	
aansareer,	আনসারির,	আনসারীর,	
natnikey,	নত্নিকে,	নাতনীকে,	
joneetey,	যোনিতে,	যোনীতে,	
votar,	ভোটার,	ভোটার,	
assastikar,	অস্বাস্তিকর,	অস্বস্তিকর,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
janmaat,	জন্মাত,	জন্মাত,	
devolopar,	ডেভলপার,	ডেভলপার,	
