digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
potka,	পতাকা,	পটকা,	
rajpur,	রাজপুর,	রাজপুর,	
sanaktokaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
itostata,	ইতস্ততা,	ইতস্তত,	
aksathei,	একসাথেই,	একসাথেই,	
hijriite,	হিজরিতে,	হিজরীতে,	
bhalta,	ভলত,	ভল্ট,	
karlasa,	কার্লস,	কার্লোস,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
turqi,	টার্কি,	তুর্কি,	
bunot,	বানত,	বুনট,	
aashtikotaa,	আস্তিকাটা,	আস্তিকতা,	
samanyai,	সামঞ্যই,	সামান্যই,	
kreedita,	ক্রিদিত,	ক্রেডিট,	
segulor,	সেগুলোর,	সেগুলোর,	
dip,	ডীপ,	দীপ,	
jatti,	জাটতি,	জাতটি,	
suparharo,	সুপারহর,	সুপারহিরো,	
samashti,	সমস্তি,	সমষ্টি,	
alubokhara,	অলুবরখা,	আলুবোখারা,	
rohasyati,	রহস্যাটি,	রহস্যটি,	
dephineshhana,	ডেফিনেশন,	ডেফিনেশন,	
dule,	দুল,	ডালে,	
hipar,	হিপার,	হাইপার,	
saddhi,	সাধ্যী,	সাধ্বী,	
shoochonakal,	সূচনকাল,	সূচনাকাল,	
mulbhitti,	মুলভিত্তি,	মূলভিত্তি,	
taurat,	তৌরাত,	তওরাত,	
anti,	অ্যান্টি,	আন্টি,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
bhenkates,	ভেনাক্েটস,	ভেঙ্কটেশ,	
malaika,	মালাইক,	মালাইকা,	
rubyo,	রাব্য,	রুবিও,	
jivjontu,	জীভান্তু,	জীবজন্তু,	
bhagno,	ভাগন,	ভগ্ন,	
marry,	মেরি,	ম্যারি,	
sheepha,	শেফ,	শেফ,	
agovir,	আগভীর,	অগভীর,	
jakso,	যক্ষ,	যক্ষ,	
shef,	সেফ,	শেফ,	
shector,	সেক্টর,	সেক্টর,	
votarer,	ভোটারের,	ভোটারের,	
provura,	প্রভার,	প্রভুরা,	
rupdan,	রূপদন,	রুপদান,	
prodiip,	প্রদীপ,	প্রদীপ,	
musolmanderkey,	মুসমামন্ডকে,	মুসলমানদেরকে,	
shiramiksh,	শিরামেক্স,	সিরামিকস,	
gejeteda,	গেইেটদে,	গেজেটেড,	
mashjid,	মাস্িদ,	মসজিদ,	
risort,	রিসর্ট,	রিসোর্ট,	
vageryi,	ভাগেরি,	ভাগেরই,	
jahara,	জাহরা,	যাহরা,	
tachnach,	তাচনাচ,	তছনছ,	
chinito,	চিহ্নিত,	চিনতো,	
rajotwa,	রাজত্ব,	রাজত্ব,	
machhder,	মাছদের,	মাছদের,	
akhando,	আখন্দ,	অখন্ড,	
