rena,	রেনা,	রেনো,	
ancholsomuho,	আঞ্চলসমূহ,	অঞ্চলসমূহ,	
themekey,	থেমেকে,	থিমকে,	
teksuser,	টেকসুসের,	টেক্সাসের,	
tunaita,	টুনাইটা,	টুনাইট,	
sangkalanti,	সংকলন্তী,	সংকলনটি,	
scholars,	স্কলারস,	স্কলার্স,	
bairer,	বাইরের,	বাইরের,	
karmake,	কারমেক,	কর্মকে,	
diiptii,	দিপটিই,	ডেপুটি,	
bondhuvabaponyo,	বন্ধুপাবজ্যবও,	বন্ধুভাবাপন্ন,	
ekghore,	একঘরে,	একঘরে,	
audiotike,	অডিওটিকে,	অডিওটিকে,	
shiqara,	শিকারা,	শিকার,	
qarqa,	কারকা,	কার্ক,	
lavta,	লাভটা,	লাভটা,	
shakara,	শাকারা,	সাকার,	
forex,	ফরেক্স,	ফরেক্স,	
shashtra,	শাষ্ট্র,	শাস্ত্র,	
phonekari,	ফোনেকারি,	ফোনকারী,	
utkhaat,	উৎকাঠ,	উত্খাত,	
kanasharabheshhana,	কনশারেশাভন,	কনসারভেশন,	
lambi,	লাম্বি,	লম্বি,	
tyap,	ত্যাপ,	ট্যাপ,	
kokeyin,	কোকেইন,	কোকেইন,	
adwanced,	অ্যাডব্যান্ডে,	অ্যাডভান্সড,	
susamo,	সুসামো,	সুসম,	
dokaanei,	দোকানেই,	দোকানেই,	
rastagulikeo,	রাস্তাগুলিকেও,	রাস্তাগুলিকেও,	
ruble,	রাবলে,	রুবল,	
notikotar,	নতিকতার,	নৈতিকতার,	
chandrimaa,	চন্দ্রীমা,	চন্দ্রিমা,	
kinenni,	কিনেননি,	কিনেননি,	
asiatic,	অ্যাসিয়াটিক,	এশিয়াটিক,	
graambasheeo,	গ্রামবাশীও,	গ্রামবাসীও,	
bhoutikeshu,	ভৌতিকেশু,	ভৌতিকেষু,	
inphormeshon,	ইনফরমমেশন,	ইনফরমেশন,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
sbajan,	স্বজান,	স্বজন,	
amarika,	আমারিকা,	আমেরিকা,	
adorsho,	আদর্শ,	আর্দশ,	
mach,	মাচ,	মাছ,	
associatis,	অ্যাসোসিয়েটিস,	এসোসিয়েটস,	
swarther,	স্বার্থের,	স্বার্থের,	
upacharjo,	উপাচর্য,	উপাচার্য,	
hoondayi,	হন্দায়ি,	হুন্দাই,	
tintikey,	টিনটিকে,	তিনটিকে,	
pingna,	পিংনা,	পিংনা,	
karu,	করু,	কারু,	
mochlekha,	মোচলেখা,	মোছলেখা,	
youth,	যথু,	ইয়ুথ,	
byomkesh,	ব্যামকোখে,	ব্যোমকেশ,	
elakatike,	এলাকাটিকে,	এলাকাটিকে,	
murali,	মুরালি,	মুরলী,	
everage,	এভেরেজ,	এভারেজ,	
angibhutovabe,	অঙ্গীভুতভাবে,	অঙ্গীভূতভাবে,	
samley,	স্যামলি,	সামলে,	
bhittow,	ভিট্টব,	ভিত্তিও,	
