windows,	উইন্ডোাস,	উইন্ডোস,	
mag,	ম্যাগ,	এমএজি,	
lettere,	লেটারে,	লেটারে,	
path,	পাঁথ,	পাথ,	
macbeth,	ম্যাকবেট,	ম্যাকবেথ,	
cocaine,	কোকাইন,	কোকেইন,	
dibet,	দিবেত,	ডিবেট,	
kramp,	ক্রাযাম্প,	ক্র্যাম্প,	
utsahamulak,	উৎসাহমূলক,	উৎসাহমূলক,	
homsher,	হোমশের,	হোমসের,	
bizito,	বিজিত,	বিজিত,	
shootar,	সুতার,	শ্যুটার,	
oitijhyotike,	ঐতিহ্যটিকে,	ঐতিহ্যটিকে,	
jegulur,	যাগুলুর,	যেগুলুর,	
aalkaatra,	আলকাত্র,	আলকাতরা,	
postac,	পোস্টাক,	পোস্টকে,	
gaddaafee,	গাদ্বাফী,	গাদ্দাফী,	
madhuri,	মধুরি,	মাধুরী,	
prakare,	প্রকারে,	প্রকারে,	
ashor,	আশর,	আসর,	
kadapaker,	কাড়াকার,	কড়াপাকের,	
porjotoker,	পর্যটকের,	পর্যটকের,	
lidars,	লিডারস,	লিডার্স,	
masjidsaho,	মসজিদসহ,	মসজিদসহ,	
sten,	স্টেন,	স্টেন,	
ankanshilpe,	অঙ্কনশীল্পে,	অঙ্কনশিল্পে,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
shrabasti,	শ্রাবস্তি,	শ্রাবস্তী,	
taufiq,	টাফিক,	তৌফিক,	
emerjency,	ইমারজজেন্সি,	এমার্জেন্সি,	
abosare,	অবসারে,	অবসরে,	
teta,	টেট,	টেটা,	
shem,	শেম,	সেম,	
dhalur,	ধালুর,	ঢালুর,	
songasthaner,	সংস্থানের,	সংস্থানের,	
popke,	পপকে,	পোপকে,	
elakatikay,	এলাকাটিকা,	এলাকাটিকে,	
farna,	ফার্না,	ফার্ন,	
choshon,	চোষণ,	চোষণ,	
angibhutovabe,	অঙ্গিভূতভাবে,	অঙ্গীভূতভাবে,	
prothati,	প্রথাটি,	প্রথাটি,	
kaloniir,	কালোনীর,	কালনীর,	
hukar,	হুকার,	হুকার,	
ponchasjon,	পঞ্চাসজন,	পঞ্চাশজন,	
qyantana,	ক্যান্তন,	ক্যান্টন,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
obosore,	অবসরে,	অবসরে,	
somonwitobhabey,	সমন্বতিবাবে,	সমন্বিতভাবে,	
godabari,	গোদাবারি,	গোদাবরী,	
noitik,	নৈতিক,	নৈতিক,	
maudelgulo,	মাউডেলগুলো,	মডেলগুলো,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
