narsaari,	নরসারী,	নার্সারি,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
turky,	তুর্কি,	তুর্কি,	
graminphonor,	গ্রামিনফনর,	গ্রামীণফোনর,	
ponchashjon,	পঞ্চাস্জন,	পঞ্চাশজন,	
heze,	হেজে,	হেজ,	
messengerer,	মেসেনগর্গের,	মেসেঞ্জারের,	
duio,	দুইও,	দুইও,	
pharanyeta,	ফর্নেতা,	ফরম্যাট,	
taap,	তাপাপ,	ট্যাপ,	
poripake,	পরিপাকে,	পরিপাকে,	
anchalgulir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
naabbota,	নব্বতা,	নাব্যতা,	
olympicer,	অলিমপিপার,	অলিম্পিকের,	
sthaponagulo,	স্পাপানাগুলো,	স্থাপনাগুলো,	
dwijenbabuder,	জ্জিজেনবাবুদের,	দ্বিজেনবাবুদের,	
gazetted,	গ্জেজেত,	গেজেটেড,	
akhandata,	আখন্ডটা,	অখণ্ডতা,	
megh,	মেঘ,	মেঘ,	
mukhabandha,	মুখাবন্ধ,	মুখবন্ধ,	
sexperter,	সেকপস্টার্টের,	সেক্সপার্টের,	
sanghar,	সংহর,	সংহার,	
bethikata,	বেথিকাটা,	বেঠিকতা,	
uporitoler,	উপরিতলের,	উপরিতলের,	
madelim,	মাডেলিম,	মডেলিং,	
vogiroth,	ভগিরোথ,	ভগীরথ,	
porinoti,	পরিণতি,	পরিণতি,	
sikha,	সিখা,	শিখ,	
rokkhonabekkhoner,	রক্ষণাবেহানের,	রক্ষণাবেক্ষণের,	
mesenjarer,	মেসেন্জের,	মেসেঞ্জারের,	
dei,	দেই,	দিই,	
adorso,	আদরসস,	আর্দশ,	
carlos,	কার্লোস,	কার্লোস,	
jarmaniteo,	জার্মানিতেও,	জার্মানিতেও,	
uparjoner,	উপার্জনের,	উপার্জনের,	
forex,	ফোরেক্স,	ফরেক্স,	
ardasha,	আর্দাস,	আর্দশ,	
srichoitonnodeb,	শ্রীচৈনবেন্ড,	শ্রীচৈতন্যদেব,	
amanisha,	আমানিসা,	অমানিশা,	
sanaktokaron,	সনক্তকরণ,	সনাক্তকরণ,	
daltagi,	দালটাগি,	দলত্যাগী,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
kodorer,	কোদোরের,	কদরের,	
primoo,	প্রিমুও,	প্রিমো,	
ponthaar,	পন্থার,	পন্থার,	
khaschandpur,	খাসচান্দপুর,	খাসচাঁদপুর,	
nirgaman,	নির্গান,	নির্গমন,	
europia,	ইউরোপিয়া,	ইউরোপিয়া,	
dep,	ডিপ,	ডেপ,	
dhangsantup,	ধাবসংপুপ,	ধ্বংসন্তুপ,	
istoone,	ইস্টুনে,	স্টোন,	
ispreedshiit,	ইসপ্রিপ্টিত,	স্প্রেডশীট,	
jeebonnogor,	জীবনগর,	জীবননগর,	
bahati,	বহহতি,	বাহাতি,	
indrani,	ইন্দ্রানী,	ইন্দ্রাণী,	
malinga,	মালিঙ্গা,	মালিংগা,	
tachnach,	তাচনাচ,	তছনছ,	
byatari,	ব্যাতারি,	ব্যাটারী,	
nirarthak,	নিরার্থক,	নিরর্থক,	
bajhyo,	বাঝ্য,	বাহ্য,	
shibraj,	শিবরাজ,	শিবরাজ,	
patochitra,	পাতচিত্র,	পটচিত্র,	
aizulke,	আইজুলকে,	আইজুলকে,	
scholastic,	স্কোল্সিক,	স্কলাস্টিক,	
awrbit,	আবরিত,	অরবিট,	
karmakarke,	কর্মারকরে,	কর্মকারকে,	
planea,	প্লানিয়া,	প্লেনে,	
nischitvabe,	নিশ্চিভাবে,	নিশ্চিতভাবে,	
jacksoner,	জ্যাকসসেনের,	জ্যাকসনের,	
aro,	আরো,	আরও,	
bhramarotsab,	ভ্রমরাতশাব,	ভ্রমরোৎসব,	
venuser,	ভেনুসের,	ভেনাসের,	
dokkhinangsho,	দক্ষিনাংশ,	দক্ষিণাংশ,	
chat,	চাট,	চ্যাট,	
antarbhutto,	অন্তারভূত্ত,	অন্তর্ভুক্ত,	
dalee,	দালি,	ডালে,	
senabahinikey,	সেনাবাহেনীনে,	সেনাবাহিনীকে,	
bhalobasar,	ভালোবাসার,	ভালোবাসার,	
zerusalem,	জেরুসামেল,	জেরুসালেম,	
tatey,	তাতে,	তাতে,	
beetloser,	বিতলোসের,	বিটলসের,	
tennys,	টেনিস,	টেনিস,	
fakhrul,	ফখরুল,	ফাখরুল,	
mitrata,	মিত্রাটা,	মিত্রতা,	
jothartho,	যথার্থ,	যথার্থ,	
shikhaboudi,	শিখাবৌদী,	শিখাবৌদি,	
hert,	হার্ট,	হার্ট,	
nisshongotake,	নিশ্গনকাগে,	নিঃসঙ্গতাকে,	
byaboharkarie,	ব্যবহরকারী,	ব্যবহারকারীই,	
sotorkobhabey,	সতরকভাবে,	সতর্কভাবে,	
aakkaash,	আক্কাশ,	আককাস,	
monur,	মোনুর,	মনুর,	
nutoner,	নুতনের,	নূতনের,	
protijogitamulok,	প্রতিজমাজগুলক,	প্রতিযোগীতামূলক,	
kings,	কিংস,	কিংস,	
korley,	করলি,	করলে,	
degree,	দেগ্রি,	ডিগ্রি,	
timathi,	তিমাথি,	টিমোথি,	
phising,	ফিসিং,	ফিসিং,	
adhyatmikata,	আধ্যাতমিকতা,	আধ্যাত্মিকতা,	
songasthatike,	সংস্থাতাঠিকে,	সংস্থাটিকে,	
balokarak,	বালোকারক,	বলকারক,	
obosore,	অবসরে,	অবসরে,	
khargosher,	খরগোগেশের,	খরগোসের,	
nibondhocheler,	নিবন্ধকের,	নিবন্ধছেলের,	
konistho,	কনিস্থ,	কনিষ্ঠ,	
somonwitobhabey,	সমন্বিভাবে,	সমন্বিতভাবে,	
saamaanya,	সামান্যায়,	সামান্য,	
anichchi,	অনিচ্ছি,	আনিচ্ছি,	
jamaanor,	জামানোর,	জমানোর,	
rajtontro,	রাজততন্ত্র,	রাজতন্ত্র,	
shit,	শিত,	শীত,	
karmazog,	কর্মাযোগ,	কর্মযোগ,	
