jini,	জিনি,	যিনি,	
blacker,	ব্লকের,	ব্ল্যাকের,	
summi,	সুমি,	সুমি,	
dharavassyokar,	ধরবাস্যকার,	ধারাভাষ্যকার,	
gaddaafee,	গাদ্দাপি,	গাদ্দাফী,	
jemske,	জেমসকে,	জেমসকে,	
pra,	প্র,	প্রো,	
shiropa,	শিরোপা,	শিরোপা,	
iuqyaliptasa,	উউক্যালিপ্টাস,	ইউক্যালিপ্টাস,	
bhogini,	ভোগিনী,	ভগিনী,	
jeebonjaapon,	জীবনযাপন,	জীবনযাপন,	
laisensim,	লাইসেনসিং,	লাইসেন্সিং,	
nimitte,	নিমিত্তে,	নিমিত্তে,	
parksh,	পার্ক,	পার্কস,	
saifai,	সাইফাই,	সাইফাই,	
alsaar,	আলসার,	আলসার,	
torcarir,	তরকারির,	তরকারীর,	
chalochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
hailo,	হইইল,	হইল,	
ghoorchen,	ঘুরছেন,	ঘুরেছেন,	
janagananar,	জনগণনার,	জনগণনার,	
asamanyo,	অসমান্য,	অসামান্য,	
eling,	এলিং,	ইলিং,	
sperm,	স্পার্ম,	স্পার্ম,	
laesens,	লেসেন্স,	লাইসেন্স,	
ponchasjon,	পঞ্চাশকন,	পঞ্চাশজন,	
bike,	বিইক,	বাইক,	
netarao,	নেতারাও,	নেতারাও,	
juktorashtrasaha,	যুক্তরস্বরসহ,	যুক্তরাষ্ট্রসহ,	
satjaner,	সৎজনের,	সাতজনের,	
caaling,	কালিং,	কুলিং,	
reesideencee,	রেসিডেন্স,	রেসিডেন্স,	
rajdhani,	রাজধানী,	রাজধানি,	
dakshinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
buildar,	বিল্ডার,	বিল্ডার,	
akram,	আকরাম,	আকরাম,	
cheerkoot,	চির্কুত,	চিরকুট,	
konake,	কোনাকে,	কণাকে,	
gadhaa,	গাধা,	গাধা,	
yuq,	ইউক,	ইয়াক,	
projononkal,	প্রজননকাল,	প্রজননকাল,	
atiteo,	অতীতে,	অতীতেও,	
taresa,	তরসে,	টেরেসা,	
naditike,	নদীতিকে,	নদীটিকে,	
drissogoolote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
omeettrakkhor,	অমিত্যকর্ষর,	অমিত্রাক্ষর,	
kormi,	কর্মী,	কর্মই,	
qoda,	কদা,	কোড,	
nodnodeer,	নদ্দনীর,	নদনদীর,	
salmaaner,	সামমানের,	সালমানের,	
onektai,	অনেকটাই,	অনেকটাই,	
landing,	ল্যানডিং,	ল্যান্ডিং,	
bhugole,	ভুগলে,	ভূগোলে,	
neemitto,	নিমিত্ত,	নিমিত্ত,	
musolmanra,	মুসলমানরা,	মুসলমানরা,	
oitijhyey,	ঐতিহ্যে,	ঐতিহ্যে,	
hepatitis,	হাইপটিটিস,	হেপাটাইটিস,	
heeja,	হিজ,	হেজ,	
parpel,	পার্পেল,	পার্পেল,	
kark,	কার্ক,	কার্ক,	
bolechiley,	বলিছিলে,	বলেছিলে,	
bamona,	বামোনা,	বামনা,	
elaakatite,	এলাকাতিতে,	এলাকাটিকে,	
suchorita,	সুচরিত,	সুচরিতা,	
vabatarini,	ভবতরীণী,	ভবতারিণী,	
bhaider,	ভাইডের,	ভাইদের,	
transhform,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
kriseenta,	ক্রিজেন্ট,	ক্রিসেন্ট,	
nogonno,	নগগ্ন,	নগণ্য,	
lutheereen,	লুথীরীণ,	লুথেরান,	
shreeshree,	শ্রীশরি,	শ্রীশ্রী,	
beda,	বেদা,	বেদ,	
ooeepokar,	উইপ্রক,	উইপোকার,	
marekting,	মারেক্টিং,	মার্কেটিং,	
bishwaashshke,	বিশ্বাসকে,	বিশ্বাসকে,	
farmat,	ফার্মেট,	ফরম্যাট,	
ruby,	রাবি,	রুবি,	
osontos,	অসন্তঃস,	অসন্তোষ,	
