ekhaate,	এখাতে,	একহাতে,	
suraaropeeto,	সুরারপিত,	সুরারোপিত,	
pravritir,	প্রভৃতির,	প্রভৃতির,	
debeting,	ডেবেটিং,	ডিবেটিং,	
aunti,	অ্যান্টি,	আন্টি,	
bytes,	বিটেস,	বাইটস,	
sosharire,	সশারিরে,	সশরীরে,	
magical,	ম্যাজিকাল,	ম্যাজিকাল,	
obdi,	অব্দি,	অব্দি,	
krema,	ক্রিম,	ক্রাইম,	
atwobishvashi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
ancholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
dhojobhongo,	ধজবঙ্গ,	ধ্বজভঙ্গ,	
everestey,	এভারেস্টে,	এভারেস্টে,	
uinndos,	উইন্ডোস,	উইন্ডোস,	
pleto,	প্লেট,	প্লেটো,	
aalkaatraa,	আলাক্রাা,	আলকাতরা,	
vaskor,	বাস্কর,	ভাস্কর,	
pulse,	পালসে,	পালস,	
soorti,	সূর্তি,	সুরটি,	
nirapekkhotaar,	নিরপক্ষ্ততার,	নিরপেক্ষতার,	
rites,	রিটস,	রিতেশ,	
chaber,	ছবের,	চাবির,	
chaalke,	চালকে,	চালকে,	
bea,	বে,	বি,	
onekerie,	অনেকেরী,	অনেকেরই,	
jesa,	জেস,	জেস,	
vangey,	ভাঙ্গে,	ভাঙ্গে,	
taurist,	টারিস্ট,	টুরিস্ট,	
purbancoler,	পূর্বা্চলের,	পূর্বাঞ্চলের,	
sqirt,	স্কার্ট,	স্কার্ট,	
soorarop,	সুরারপ,	সুরারোপ,	
hajeerhatt,	হাজিরাটট,	হাজিরহাট,	
kreedita,	ক্রিদিত,	ক্রেডিট,	
shaddhii,	সদ্ধি,	সাধ্বী,	
saholobhyotar,	সহলভভ্যতার,	সহজলভ্যতার,	
mataram,	মোটরম,	মাতরম,	
setite,	সেটিতে,	সেটিতে,	
chetona,	চেতনা,	চেতনা,	
hebhee,	হেভি,	হেভি,	
swajaner,	স্বজানের,	স্বজনের,	
bhalta,	ভলত্টা,	ভল্ট,	
silvar,	সিলভার,	সিলভার,	
dharavahikeo,	ধারাহাহীকে,	ধারাবাহিকেও,	
bhittimool,	ভিট্তিমুল,	ভিত্তিমূল,	
vabook,	ভবুক,	ভাবুক,	
aalaaoler,	আলালের,	আলাওলের,	
gobhornorer,	গভর্নরের,	গভর্ণরের,	
ingreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
edmeeral,	এড্ামরাল,	এডমিরাল,	
orbiit,	অর্বিত,	অরবিট,	
tat,	তাঁত,	তাত,	
parshe,	পারসে,	পার্শ্বে,	
saccar,	সাকার,	সকার,	
dakshinangsha,	দক্ষিণাংশ,	দক্ষিণাংশ,	
provritir,	প্রভৃতির,	প্রভৃতির,	
dancan,	ডাঁকন,	ডানকান,	
alankaron,	অলংকরণ,	অলঙ্করণ,	
uuipoka,	উপিকা,	উইপোকা,	
aalkatraa,	আলোক্তরা,	আলকাতরা,	
karaa,	করা,	কারো,	
biswashe,	বিশ্বাসে,	বিশ্বাসে,	
raitasa,	রাইটস,	রাইটস,	
valapuk,	ভালাপুক,	ভোলাপুক,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
gratha,	গ্রাথ,	গ্রোথ,	
bhushi,	ভুসি,	ভুষি,	
nepchooner,	নেপকুনের,	নেপচুনের,	
ingrezraa,	ইংরেজ্রা,	ইংরেজরা,	
chet,	চেত,	চ্যাট,	
paab,	পাব,	পাব,	
graambasio,	গ্রাম্বাসীও,	গ্রামবাসীও,	
goodamjato,	গুদামজত,	গুদামজাত,	
iash,	আইএসএ,	আইএএস,	
plate,	প্লেট,	প্লেট,	
harees,	হারিস,	হ্যারিস,	
spencer,	স্পেন্সের,	স্পেন্সার,	
digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
dhas,	ধাস,	ধস,	
mosjid,	মস্জিদ,	মসজিদ,	
shayatana,	স্যাটন,	শয়তান,	
pabo,	পাব,	পাব,	
janmato,	জন্মত,	জন্মাত,	
ajeej,	আজিজ,	আজিজ,	
hafej,	হাফেজ,	হাফেয,	
laeshesh,	লাইস,	লাইসেন্স,	
sikar,	সিকার,	শিকার,	
jaaluk,	জালুক,	জ্বলুক,	
gojano,	গোজান,	গজানো,	
tafsherer,	তাসসারের,	তাফসীরের,	
masjidke,	মাজিদকে,	মসজিদকে,	
foksher,	ফক্ষের,	ফক্সের,	
jacq,	জক,	জ্যাক,	
hook,	হোক,	হুক,	
brookoleen,	ব্রুকলীন,	ব্রুকলিন,	
cada,	কোড,	কোডা,	
oncoleo,	অঙ্কলেও,	অঞ্চলেও,	
nothibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
muscat,	মাসকাট,	মাস্কাট,	
byte,	বিটে,	বাইট,	
mashtersh,	মাস্টার্স,	মাস্টার্স,	
cs,	এিএসসি,	সিএস,	
alpo,	আল্প,	অল্প,	
udbhabone,	উদ্ভাবনে,	উদ্ভাবনে,	
harriser,	হাযারিসের,	হ্যারিসের,	
khaneker,	খননেকের,	খানেকের,	
ashociatesh,	অ্যাসোসিটেস,	এসোসিয়েটস,	
sumo,	স্মু,	সুমো,	
sikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
gonna,	গন্যা,	গননা,	
iqbaler,	ইকবালের,	ইকবালের,	
cheettronnattokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
vangchur,	ভাঙচুর,	ভাংচুর,	
bai,	বাই,	বাঈ,	
subade,	সুবাদে,	সুবাদে,	
sarbharer,	সারভারের,	সার্ভারের,	
