choudhureeo,	চৌধুরিও,	চৌধুরীও,	
soccar,	সকচারা,	সকার,	
sobrakamer,	সবররককাে,	সবরকমের,	
madrajer,	মাদ্রজের,	মাদ্রাজের,	
skolarship,	স্কলারশিপ,	স্কলারশিপ,	
kormokandeo,	কর্মকান্ডেও,	কর্মকাণ্ডেও,	
daaun,	ডাউন,	ডাউন,	
elakayi,	এলাকইই,	এলাকাই,	
dharavahikbhabe,	ধারাভাভিকভাবে,	ধারাবাহিকভাবে,	
boudha,	বৌধধ,	বৌদ্ধ,	
battery,	ব্যাটারি,	ব্যাটারী,	
suma,	সুমা,	সুমো,	
doover,	দুভের,	ডোভার,	
format,	ফরমাট,	ফরম্যাট,	
kailas,	কৈলাস,	কৈলাস,	
chheelonaa,	ছিলনন,	ছিলনা,	
torkareer,	তরকারীর,	তরকারীর,	
assastikar,	অসসস্তিকার,	অস্বস্তিকর,	
ostader,	অস্তাদের,	ওস্তাদের,	
janachche,	যননঞচছে,	জানাচ্ছে,	
shuknaa,	শুকনা,	শুকনা,	
nesnosh,	নেষন্,	নেশনস,	
tekno,	তেকনো,	টেকনো,	
phiqsa,	ফিক্স,	ফিক্স,	
biplobir,	বিপ্লবির,	বিপ্লবীর,	
melborner,	মেলবর্ণের,	মেলবোর্নের,	
atto,	আতোত,	আত্ম,	
rubala,	রুবাল,	রুবল,	
jalrang,	জলগরর,	জলরঙ,	
janamukhi,	জনামুখী,	জনমুখী,	
utsahi,	উতসাহী,	উৎসাহী,	
satarkakaree,	সাাাককাা,	সতর্ককারী,	
chomski,	চমক্কি,	চমস্কি,	
bhramaner,	ভ্রাণণেে,	ভ্রমণের,	
durgotsob,	দুর্গটসব,	দুর্গোৎসব,	
taurat,	তৌরৎতট,	তওরাত,	
surokarder,	সুরকর্ডের,	সুরকারদের,	
definitian,	ডেফিনিশন,	ডেফিনেশন,	
elakaao,	এলাকাও,	এলাকাও,	
oitijjher,	ঐতিহ্যের,	ঐতিহ্যের,	
biprodas,	বিপ্রদাশ,	বিপ্রদাস,	
shit,	সীট,	শীত,	
ganoporibahon,	গণপরিবানন,	গণপরিবহন,	
bauger,	বাগের,	বাগের,	
kaando,	কান্ড,	কাণ্ড,	
shukranoo,	শুক্রাণু,	শুক্রানু,	
prodiper,	প্রদীপের,	প্রদীপের,	
sovanetri,	সভানন্ত্রী,	সভানেত্রী,	
phund,	ফুন্,	ফান্ড,	
pacbar,	পাক্ারার,	পাঁচবার,	
matrikar,	মাত্রিকার,	মাতৃকার,	
achis,	অচিশ,	আছিস,	
prodip,	প্রদীপ,	প্রদীপ,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
shchalastic,	স্কললাস্টিক,	স্কলাস্টিক,	
pachtar,	পাঁচটা,	পাঁচটার,	
garden,	গর্েন,	গার্ডেন,	
obosore,	অবসরে,	অবসরে,	
gorer,	গরের,	গোরের,	
konrup,	কনরূপ,	কোনরূপ,	
subade,	সুবাদে,	সুবাদে,	
moshan,	মসান,	মোশন,	
horipoor,	হরিপুর,	হরিপুর,	
gezetted,	জেজেটেড,	গেজেটেড,	
militaryte,	মিলিটারিতে,	মিলিটারিতে,	
gardeena,	গার্েন,	গার্ডেন,	
soras,	সরাসস,	সরস,	
eashter,	ইস্টের,	ইস্টার,	
shatodha,	শতধা,	শতধা,	
bardhitaanas,	বা্ধীতাসাশ,	বর্ধিতাংশ,	
digrio,	ডিগ্রীও,	ডিগ্রিও,	
prakalpatike,	প্রকললপতিকে,	প্রকল্পটিকে,	
siramiks,	শিরামিক্স,	সিরামিকস,	
teknokret,	টেকন্ক্রেট,	টেকনোক্র্যাট,	
gosthyi,	গোষ্ঠী,	গোষ্ঠীই,	
zerusaleme,	জেরুসলেমে,	জেরুসালেমে,	
baasa,	বাসা,	বাসা,	
nischitbhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
darzi,	দর্জি,	দরজি,	
teteyer,	তেটের,	টেটের,	
sangharshik,	সাংরর্ষিক,	সাংঘর্ষিক,	
shhooter,	শূতের,	শ্যুটার,	
domonmoolok,	দামন্মূলক,	দমনমূলক,	
chalochchitreer,	চলচিত্রের,	চলচ্চিত্রের,	
satarkota,	সতরাক্ত,	সতর্কতা,	
tecnocrat,	টেকনোক্র,	টেকনোক্র্যাট,	
chalesi,	চলেসি,	চলেছি,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
naker,	নাকের,	নেকের,	
sarbharti,	সার্ভরটি,	সার্ভারটি,	
jerujalem,	জেরুজামে,	জেরুসালেম,	
osamarik,	অসামারিক,	অসামরিক,	
oedipush,	উদিশুস,	ইডিপাস,	
sarbhaarti,	সার্ভারটি,	সার্ভারটি,	
selina,	সেলিনা,	সেলিনা,	
firoza,	ফিরোজ,	ফিরোজা,	
starker,	স্টার্কের,	স্টার্কের,	
sikkhokke,	শিক্ষককে,	শিক্ষককে,	
dacop,	ডাকোপ,	দাকোপ,	
aasif,	আসিফ,	আসিফ,	
cholochchitraeei,	চলচ্ত্র্রেই,	চলচ্চিত্রেই,	
kleentoner,	ক্লিনটটনের,	ক্লিনটনের,	
timoothy,	তিমুথি,	টিমোথি,	
aholya,	আহল্য,	অহল্যা,	
kattar,	কতটারার,	কট্টর,	
elakashaho,	এলাকাশহ,	এলাকাসহ,	
rushod,	রুশদ,	রুশদ,	
gonohotyakey,	গণতাত্যকে,	গণহত্যাকে,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
jammu,	জামমমু,	জম্মু,	
dhas,	ধাস,	ধস,	
bijito,	বিজিত,	বিজিত,	
tinti,	তিনটি,	তিনটি,	
ancholsaha,	অঞখচলাসহ,	অঞ্চলসহ,	
shite,	শীটে,	শীতে,	
hajeerhat,	হাীরহাত,	হাজিরহাট,	
jibonnogor,	জীবনগনগর,	জীবননগর,	
birder,	বিরদের,	বার্ডের,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
nirgomon,	নির্জম,	নির্গমন,	
artilary,	আর্টিলারি,	আর্টিলারি,	
choudhureeke,	চৌধুরিকে,	চৌধুরীকে,	
bhromoner,	ভ্রোণণের,	ভ্রমণের,	
shatan,	সতন,	শয়তান,	
gojano,	গজাান,	গজানো,	
preety,	প্রীতি,	প্রিটি,	
ancholtee,	অঞচচল্ি,	অঞ্চলটি,	
phooloo,	ফুলু,	পোলো,	
sadeena,	স্বাদন,	সাডেন,	
soorsa,	সূ্াশ,	সোর্স,	
chhatrorai,	ছাত্ররাই,	ছাত্ররাই,	
lokhindare,	লকিষিণারে,	লখিন্দরের,	
sikkharrtheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
bizit,	বিজিত,	বিজিত,	
bhogni,	ভগ্নি,	ভগ্নী,	
ankeeta,	অংকিত,	অঙ্কিতা,	
nodimaatrik,	নৈদিতামিত্ক,	নদীমাতৃক,	
chandrima,	চন্দ্রিমা,	চন্দ্রিমা,	
brinde,	ব্রিই্ে,	বৃন্দ,	
azan,	আজান,	আজান,	
cheess,	চেস,	চেস,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
dekhbar,	দেখবার,	দেখবার,	
gosti,	গোস্তি,	গোষ্ঠী,	
istoone,	ইস্টুন,	স্টোন,	
akmot,	একমত,	একমত,	
obotar,	অবতার,	অবতার,	
stonehenge,	স্তননেহেগ্য,	স্টোনহেঞ্জ,	
khelafatey,	খেলাফাতে,	খেলাফতে,	
lampot,	লম্পট,	লম্পট,	
porbotmala,	পর্বতত্মলা,	পর্বতমালা,	
kaloniir,	কালনীর,	কালনীর,	
asirbad,	আশীর্বাদ,	আশির্বাদ,	
bikargrosto,	বিকার্ররষ্ট,	বিকারগ্রস্ত,	
bishwashe,	বিশ্বাসে,	বিশ্বাসে,	
graambasio,	গ্রামবাওশ,	গ্রামবাসীও,	
truup,	ত্রুপ,	ট্রুপ,	
timathy,	তিমাথি,	টিমোথি,	
hugeke,	হুগেক,	হিউজকে,	
panni,	পান্ি,	পন্নী,	
akshor,	অক্ষর,	একশোর,	
sangkalanti,	সংক্লানটি,	সংকলনটি,	
shift,	সিফট,	শিফট,	
dayitwa,	দৈত্য,	দায়িত্ব,	
addabaaj,	আদ্দাবাজ,	আড্ডাবাজ,	
tennise,	টেনিসে,	টেনিসে,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
aalaaoler,	আলালের,	আলাওলের,	
abosare,	অবসাে,	অবসরে,	
ved,	ভেদ,	বেদ,	
longhan,	লং্ঘা,	লংঘন,	
parser,	পার্ের,	পার্শ্বের,	
firti,	ফিরটি,	ফিরতি,	
majuter,	মজুতের,	মজুতের,	
susama,	সুসমা,	সুসম,	
sawam,	সওভম,	সাওম,	
dhhaaloor,	ঢালুর,	ঢালুর,	
nobotomo,	নবতম,	নবতম,	
tookror,	তুকরোর,	টুকরোর,	
kaalaam,	কালাম,	কালাম,	
lajika,	লজজিক,	লজিক,	
odhito,	অধিত,	অধীত,	
gayichhey,	গৈইছে,	গাইছে,	
manobsomajer,	মানববাজেজের,	মানবসমাজের,	
skolastic,	স্কলল্স্টিক,	স্কলাস্টিক,	
refleks,	রিলেেক্স,	রিফ্লেক্স,	
pratijogi,	প্রতিযোগী,	প্রতিযোগী,	
mozlishpoor,	মজজলস্পুর,	মজলিশপুর,	
rk,	এরকক,	আরকে,	
gronthoo,	গ্রন্থু,	গ্রন্থও,	
santaa,	সান্তা,	সান্তা,	
dhrubok,	ধূর্বক,	ধ্রুবক,	
opohoron,	অপহরণ,	অপহরন,	
forma,	ফরমা,	ফর্মা,	
nederland,	নেডারল্যান্ড,	নেদারল্যান্ড,	
danckan,	ডানকান,	ডানকান,	
saazanor,	সাজানোর,	সাজানোর,	
somraatra,	সম্র্ত্র,	সম্রাটরা,	
firth,	ফির্থ,	ফার্থ,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
manshe,	মানসে,	মানুষে,	
shailee,	সেইলি,	শৈলী,	
dankan,	দা্কন,	ডানকান,	
debdebee,	দেববেদী,	দেবদেবী,	
dael,	ডেল,	ডেইল,	
jatota,	যতটা,	যতোটা,	
alpakichudin,	আল্পকিছুদিন,	অল্পকিছুদিন,	
niutrino,	নিতৃত্ণ,	নিউট্রিনো,	
poscater,	পশ্কাটেরর,	পশ্চাতের,	
vogini,	ভোগিি,	ভগিনী,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
