naper,	নাপের,	ন্যাপের,	
tourist,	টোরুস্ট,	টুরিস্ট,	
bagdhara,	বাঘধারা,	বাগধারা,	
maner,	মানের,	মানে,	
playto,	প্লেট,	প্লেটো,	
chirontan,	চিরন্তন,	চিরন্তন,	
cholochchitraeer,	চলচ্চিত্রীর,	চলচ্চিত্রের,	
abhidhaaneek,	অভিধানিক,	অভিধানিক,	
shomoshto,	সমস্ত,	সমস্ত,	
edii,	এডি,	আইডিই,	
heejee,	হিজি,	হেজ,	
jeellul,	জিল্লুল,	জিল্লুল,	
abosane,	অবসনে,	অবসানে,	
uddhrita,	উদ্ধৃত,	উদ্ধৃত,	
telakoocha,	তেলাকুচ,	তেলাকুচা,	
mookhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
kk,	কে,	কেকে,	
cherechhe,	চেরেছে,	ছেড়েছে,	
dharati,	ধরতী,	ধারাটি,	
superheiroo,	সুপেরহরও,	সুপারহিরো,	
ikbaler,	ইকবলের,	ইকবালের,	
meloonborrone,	মেলোনর্ভনে,	মেলবোর্নে,	
aamoode,	আমুদে,	আমুদে,	
toroon,	তরুণ,	তরুন,	
akritakarjo,	একৃতকর্য,	অকৃতকার্য,	
vugol,	ভুগল,	ভূগোল,	
ancholgulir,	অঞ্চলগুরির,	অঞ্চলগুলির,	
lishenshe,	লিসেন্সে,	লাইসেন্স,	
proshikkhane,	প্রশিক্ষনে,	প্রশিক্ষণে,	
chirantan,	চিরন্তন,	চিরন্তন,	
karecho,	করেছ,	করেছ,	
geans,	জেইস,	জিন্স,	
kranti,	ক্রান্তি,	ক্রান্তি,	
aarik,	আরিক,	আরিক,	
nagorikke,	নাগরিকে,	নাগরিককে,	
chat,	ছাট,	চ্যাট,	
maladoobha,	মালাদাভা,	মলদোভা,	
gronthoo,	গ্রন্থু,	গ্রন্থও,	
bedey,	বেদে,	বেদে,	
korecha,	করেছা,	করেছ,	
sahab,	সহহ,	সাহাব,	
atyacharito,	অত্যচারিত,	অত্যাচারিত,	
samanwitobhabe,	সমানবিতভাবে,	সমন্বিতভাবে,	
choudhurir,	চৌধুরির,	চৌধুরীর,	
daap,	ডাপ,	ড্যাপ,	
inphormation,	ইনফর্টেশন,	ইনফরমেশন,	
senabahineeow,	সেনাহীনিহূ,	সেনাবাহিনীও,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
veniser,	ভেনিসের,	ভেনিসের,	
prakalpoo,	প্রকল্প,	প্রকল্পও,	
ipl,	ইপিল,	আইপিএল,	
iran,	ইরান,	ইরান,	
adhatik,	আধ্যাতিক,	আধ্যাত্মিক,	
sudrissho,	সুদৃশ্,	সুদৃশ্য,	
pratijogi,	প্রতিযোগী,	প্রতিযোগী,	
obosan,	অবসন,	অবসান,	
heemi,	হিমি,	হিমি,	
eiling,	এলিং,	ইলিং,	
sushri,	শুশ্রী,	সুশ্রী,	
saarbhaarer,	সরবারের,	সার্ভারের,	
biharey,	বিহারে,	বিহারে,	
azizur,	অজিজুর,	আজিজুর,	
jyestha,	জ্যাস্থ,	জ্যেষ্ঠা,	
baek,	ব্যাক,	বাইক,	
groowth,	গ্রোথ,	গ্রোথ,	
reesideensa,	রেসিডেন্স,	রেসিডেন্স,	
eucalyptush,	ইউক্যালিপ্টাস,	ইউক্যালিপ্টাস,	
soleel,	সলিল,	সলিল,	
tantira,	তাঁটিরা,	তাঁতিরা,	
jaanaar,	জানার,	জানার,	
janosomaj,	জনসমাজ,	জনসমাজ,	
cholochchitrogulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
muchir,	মুচির,	মুচির,	
carzer,	কার্জের,	চার্জের,	
laicenshe,	লাইকেন্সে,	লাইসেন্স,	
ddheela,	ঢিলা,	ঢিলা,	
sur,	সূর,	সুর,	
plate,	প্লেট,	প্লেট,	
rilayeensa,	রিলেয়েন্স,	রিলায়েন্স,	
sukhma,	সুখ্ম,	সুক্ষ্ম,	
kattor,	কাট্তর,	কট্টর,	
falakti,	ফলকক্তি,	ফলকটি,	
nobom,	নবম,	নবম,	
lohaar,	লোহার,	লোহার,	
nirikhe,	নিরিকেষে,	নিরিখ,	
voolapuk,	ভুলাপুক,	ভোলাপুক,	
prakalpao,	প্রকল্প,	প্রকল্পও,	
murader,	মুরাদের,	মুরাদের,	
kona,	কোনা,	কোনা,	
manaber,	মানবের,	মানবের,	
metroopalitana,	মেট্রোপলিপান,	মেট্রোপলিটন,	
skirt,	স্কীর্ট,	স্কার্ট,	
nagare,	নগরে,	নগরে,	
gare,	গারে,	গোর,	
baagicar,	বাগিকার,	বাগিচার,	
beshirbhagi,	বেশিরভাগই,	বেশিরভাগই,	
teenisa,	টেনিশ,	টেনিস,	
khorshed,	খোর্ষেদ,	খোরশেদ,	
umedpoor,	উমেডপুর,	উমেদপুর,	
shaarthe,	সার্থে,	স্বার্থে,	
daakope,	ডাকোপ,	দাকোপ,	
bhugol,	ভুগল,	ভূগোল,	
shanta,	শান্ত,	সান্তা,	
lakhindarer,	লাখিন্দ্রের,	লখিন্দরের,	
musalmanera,	মুসলমনেযা,	মুসলমানেরা,	
laat,	লাট,	লাট,	
chirota,	চিরতা,	চিরতা,	
khamba,	খাম্বা,	খাম্বা,	
graambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
tanu,	তানু,	তনু,	
hilser,	হিলসের,	হিলসের,	
upobashee,	উপবাসী,	উপবাসী,	
harisoner,	হরিসনের,	হ্যারিসনের,	
durotaumo,	দুরতো,	দূরতম,	
dip,	ডিপ,	দীপ,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
phokshkon,	ফক্ষকণ,	ফক্সকন,	
vugoley,	ভুগোলে,	ভূগোলে,	
phimel,	ফিমেল,	ফিমেল,	
notey,	নটে,	নোটে,	
hoila,	হইল,	হইল,	
jackshon,	জ্যাকশন,	জ্যাকসন,	
baraakpur,	বারাকপুর,	বারাকপুর,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
towbaar,	তওবার,	তওবার,	
johny,	জনহি,	জনি,	
sajanor,	সজানোর,	সাজানোর,	
pujito,	পূঁজিত,	পুজিত,	
nortoki,	নর্তকী,	নর্তকী,	
cinematographer,	সিনেমফ্রাফারে,	সিনেমাটোগ্রাফার,	
eksapresana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
somabesh,	সমাবেশ,	সমাবেশ,	
sarboshokteeman,	সর্বসতক্তমমান,	সর্বশক্তিমান,	
vangchur,	ভাঙচুর,	ভাংচুর,	
songbadmadhyamgulote,	সংবাদমধ্যমূলে,	সংবাদমাধ্যমগুলোতে,	
pravuder,	প্রভূদের,	প্রভুদের,	
chal,	চলল,	চাল,	
ancholgoolote,	অঁচলগুলোতে,	অঞ্চলগুলোতে,	
pishach,	পিশাচ,	পিশাচ,	
turisht,	টুর্স্ট,	টুরিস্ট,	
parichchhannata,	পরিচ্ছন্নতা,	পরিচ্ছন্নতা,	
chai,	চই,	ছাই,	
majuter,	মাজুতের,	মজুতের,	
aashtikota,	আস্তিকটা,	আস্তিকতা,	
horus,	হররাস,	হোরাস,	
beshirbhaageyi,	বেশিরভাগই,	বেশিরভাগেই,	
shikshakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
gunje,	গুঁজে,	গুঁজে,	
ujbekistan,	উজবেতিস্তান,	উজবেকিস্তান,	
sibraj,	শিব্রাজ,	শিবরাজ,	
armeeniyana,	আরমেনিয়ান,	আর্মেনিয়ান,	
jilyaand,	জিল্যান্ড,	জিল্যান্ড,	
hajareebag,	হাজারিবাগ,	হাজারিবাগ,	
jaruri,	জারুরী,	জরূরী,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
chalachchitroi,	চলচ্চ্ত্রী,	চলচ্চিত্রই,	
prachurjer,	প্রচুর্জের,	প্রাচুর্যের,	
reetesh,	রীটেশ,	রিতেশ,	
porissrom,	পরিশ্রম,	পরিশ্রম,	
orbiit,	অর্বিত,	অরবিট,	
ganochin,	গণোচীন,	গণচীন,	
marekting,	ম্রেকটিং,	মার্কেটিং,	
panthar,	পাঁঠার,	পন্থার,	
ministar,	মিনিস্টার,	মিনিস্টার,	
koode,	কোড,	কোড,	
charjito,	চারজিত,	চার্জিত,	
hitokor,	হিতকর,	হিতকর,	
jubokera,	যুবকেরা,	যুবকেরা,	
debagg,	দেবজ্ঞ,	ডিবাগ,	
ispredshiit,	ইস্্রেেডিস,	স্প্রেডশীট,	
ganaparibahan,	গণপরিবহন,	গণপরিবহন,	
goori,	গুরী,	গোরি,	
kanuner,	কানুনের,	কানুনের,	
palestine,	প্যালেস্টিনে,	প্যালেস্টাইনে,	
parikhar,	পরীক্ষার,	পরিখার,	
tooku,	টুকু,	টুকু,	
