ganochiner,	গণচিলের,	গণচীনের,	
algorithm,	অ্যালগরিদম,	এলগরিদম,	
pouchhute,	পৌঁছুতে,	পৌঁছুতে,	
zerusalem,	জেরুসলেম,	জেরুসালেম,	
uchchataro,	উচ্চতার,	উচ্চতর,	
sakshatkarer,	সাক্ষতকারের,	সাক্ষাৎকারের,	
carzar,	কার্জার,	চার্জার,	
amshtrong,	অ্যস্ট্রেং,	আর্মস্ট্রং,	
holdim,	হলদিম,	হোল্ডিং,	
haraten,	হরতেন,	হারাতেন,	
shikshagato,	শিক্ষাত,	শিক্ষাগত,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
ishpredshheet,	ইসপ্রেড্টিট,	স্প্রেডশীট,	
noteti,	নতেটি,	নোটটি,	
shcholastic,	স্কলাাসটটিক,	স্কলাস্টিক,	
himi,	হিমি,	হিমি,	
ummul,	উমমুল,	উম্মুল,	
jahar,	যহর,	জহর,	
suporichita,	সুপরিচিত,	সুপরিচিত,	
laesens,	লেসেন্স,	লাইসেন্স,	
sayaneda,	সায়েন,	সায়ানাইড,	
eksathe,	একসাথে,	একসাথে,	
shucharita,	সূচারিত,	সুচরিতা,	
drissogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
ekghare,	একঘারে,	একঘরে,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
bandra,	বন্দ্রা,	বন্দীরা,	
chhon,	ছোন,	ছোঁ,	
zuktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
patterne,	পাটার্ন,	প্যাটার্নে,	
babona,	বাবনা,	বাবনা,	
koner,	কোনের,	কনের,	
roomantik,	রোমান্তিক,	রোমান্টিক,	
charukola,	চারুকলা,	চারুকলা,	
foreks,	ফোরেকস,	ফরেক্স,	
somsher,	শমসের,	সমশের,	
karadonde,	কারাদন্ডে,	কারাদণ্ডে,	
aamude,	আমুদে,	আমুদে,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
nothivukto,	নথিভুক্ত,	নথিভুক্ত,	
suraaropeeto,	সুরারোপিত,	সুরারোপিত,	
zhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
sonaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
sahozlabhbhotar,	সহলভ্লভাতার,	সহজলভ্যতার,	
bruklin,	ব্রুকলিন,	ব্রুকলিন,	
shloker,	স্লোকের,	শ্লোকের,	
ujbekistan,	উজবেকিস্তান,	উজবেকিস্তান,	
istoon,	ইস্টুন,	স্টোন,	
basuki,	বসুকি,	বাসুকি,	
postake,	পোস্তকে,	পোস্টকে,	
kaanaai,	কানাই,	কানাই,	
sontoshpur,	সন্তসপুর,	সন্তোষপুর,	
deubande,	দিউবানদে,	দেওবন্দে,	
cinematographar,	সিনেসগ্রগোফর,	সিনেমাটোগ্রাফার,	
holuder,	হলুদের,	হলুদের,	
pachhi,	পাছচি,	পাচ্ছি,	
bondhubhabapanno,	বন্ধুবাাপন্ন,	বন্ধুভাবাপন্ন,	
sane,	সেন,	সনে,	
probhu,	প্রভূ,	প্রভু,	
qyapasula,	ক্যাপসুলা,	ক্যাপসুল,	
ceramics,	সেরিমিক,	সিরামিকস,	
uinndos,	উইন্ডসো,	উইন্ডোস,	
imirgincy,	এমর্গেন্সি,	এমার্জেন্সি,	
joistha,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
shithilotar,	সিথিলতার,	শিথিলতার,	
setitey,	সেটিতে,	সেটিতে,	
konaan,	কোনান,	কোনান,	
kata,	কাটা,	কোটা,	
taiwan,	টাইভোন,	তাইওয়ান,	
pratijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
asaborno,	অসবর্ণ,	অসবর্ণ,	
madhobike,	মাধবীকে,	মাধবীকে,	
shoreefpur,	শরীফুুর,	শরিফপুর,	
deeyenes,	ডেয়েনস,	ডিএনএস,	
ssumi,	সুমি,	সুমি,	
wodka,	বোদকা,	ভদকা,	
soores,	সোরেশ,	সুরেশ,	
madrasa,	মাদরাসা,	মাদ্রাসা,	
dibating,	ডিবাতিং,	ডিবেটিং,	
ganaporibahaner,	গণপরিবহারের,	গণপরিবহনের,	
sahopatheeke,	সহপাঠীকে,	সহপাঠীকে,	
azimkey,	আজিমকে,	আজিমকে,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
